Common.Name,Scientific.Name,Action,Assigned.Name.for.Atlas
Yellow Bittern,Ixobrychus sinensis,,Yellow Bittern
Black-hooded Oriole,Oriolus xanthornus,,Black-hooded Oriole
Bronze-winged Jacana,Metopidius indicus,,Bronze-winged Jacana
Common Hawk-Cuckoo,Hierococcyx varius,,Common Hawk-Cuckoo
Green Bee-eater,Merops orientalis,,Green Bee-eater
Greater Coucal,Centropus sinensis,,Greater Coucal
Jungle Myna,Acridotheres fuscus,,Jungle Myna
Jungle Owlet,Glaucidium radiatum,,Jungle Owlet
Spotted Dove,Streptopelia chinensis,,Spotted Dove
Eurasian Coot,Fulica atra,,Eurasian Coot
Eurasian Moorhen,Gallinula chloropus,,Eurasian Moorhen
Jungle Babbler,Turdoides striata,,Jungle Babbler
Pale-billed Flowerpecker,Dicaeum erythrorhynchos,,Pale-billed Flowerpecker
Chestnut-tailed/Malabar Starling,Sturnia malabarica/blythii,Remove,
Pheasant-tailed Jacana,Hydrophasianus chirurgus,,Pheasant-tailed Jacana
Tricolored Munia,Lonchura malacca,,Tricolored Munia
Ashy Prinia,Prinia socialis,,Ashy Prinia
Asian Openbill,Anastomus oscitans,,Asian Openbill
Knob-billed Duck,Sarkidiornis melanotos,,Knob-billed Duck
Indian Spot-billed Duck,Anas poecilorhyncha,,Indian Spot-billed Duck
Little Ringed Plover,Charadrius dubius,,Little Ringed Plover
Scaly-breasted Munia,Lonchura punctulata,,Scaly-breasted Munia
White-browed Wagtail,Motacilla maderaspatensis,,White-browed Wagtail
Yellow-billed Babbler,Turdoides affinis,,Yellow-billed Babbler
Eurasian Collared-Dove,Streptopelia decaocto,,Eurasian Collared-Dove
White-rumped Munia,Lonchura striata,,White-rumped Munia
Greater Racket-tailed Drongo,Dicrurus paradiseus,,Greater Racket-tailed Drongo
swiftlet sp.,Collocalia/Aerodramus sp.,Remove,
Blue-tailed Bee-eater,Merops philippinus,,Blue-tailed Bee-eater
drongo sp.,Dicrurus sp.,Remove,
Little/Indian Cormorant,Microcarbo niger/Phalacrocorax fuscicollis,Remove,
Pied Bushchat,Saxicola caprata,,Pied Bushchat
cormorant sp.,Phalacrocoracidae sp.,Remove,
Asian Palm-Swift,Cypsiurus balasiensis,,Asian Palm-Swift
Shikra,Accipiter badius,,Shikra
Red-whiskered Bulbul,Pycnonotus jocosus,,Red-whiskered Bulbul
white egret sp.,Ardea/Egretta/Bubulcus sp.,Remove,
Black Bittern,Ixobrychus flavicollis,,Black Bittern
Black-crowned Night-Heron,Nycticorax nycticorax,,Black-crowned Night-Heron
small swift sp.,Apodidae sp. (small swift sp.),Remove,
sunbird sp.,Nectariniidae sp. (sunbird sp.),Remove,
Rufous Woodpecker,Micropternus brachyurus,,Rufous Woodpecker
Bronzed Drongo,Dicrurus aeneus,,Bronzed Drongo
Indian Gray Hornbill,Ocyceros birostris,,Indian Grey Hornbill
crow sp.,Corvus sp. (crow sp.),Remove,
Great/Intermediate Egret,Ardea alba/intermedia,Remove,
Brown-capped Woodpecker,Yungipicus nanus,,Brown-capped Woodpecker
Lesser Yellownape,Picus chlorolophus,,Lesser Yellownape
Malabar Woodshrike,Tephrodornis sylvicola,,Malabar Woodshrike
Indian Cuckoo,Cuculus micropterus,,Indian Cuckoo
Pied Kingfisher,Ceryle rudis,,Pied Kingfisher
Purple Sunbird,Cinnyris asiaticus,,Purple Sunbird
Brown-backed Needletail,Hirundapus giganteus,,Brown-backed Needletail
Crested Serpent-Eagle,Spilornis cheela,,Crested Serpent-Eagle
Mountain Imperial-Pigeon,Ducula badia,,Mountain Imperial-Pigeon
Orange-headed Thrush,Geokichla citrina,,Orange-headed Thrush
large swift sp.,Apodidae sp. (large swift sp.),Remove,
dark swiftlet sp.,Aerodramus sp.,Remove,
Brown Boobook,Ninox scutulata,Remove,
imperial-pigeon sp.,Ducula sp.,Remove,
Black/Ashy Drongo,Dicrurus macrocercus/leucophaeus,Remove,
Greater/Common Flameback,Chrysocolaptes guttacristatus/Dinopium javanense,Remove,
Red-rumped Swallow,Cecropis daurica,,Red-rumped Swallow
Plum-headed Parakeet,Psittacula cyanocephala,,Plum-headed Parakeet
Common Iora,Aegithina tiphia,,Common Iora
Green Imperial-Pigeon,Ducula aenea,,Green Imperial-Pigeon
Jerdon's Leafbird,Chloropsis jerdoni,,Jerdon's Leafbird
Indian Roller,Coracias benghalensis,,Indian Roller
pond-heron sp.,Ardeola sp.,Remove,
Vernal Hanging-Parrot,Loriculus vernalis,,Vernal Hanging-Parrot
prinia sp.,Prinia sp.,Remove,
eagle sp.,Accipitridae sp. (eagle sp.),Remove,
swift sp.,Apodidae sp.,Remove,
flowerpecker sp.,Prionochilus/Dicaeum sp.,Remove,
Swinhoe's Storm-Petrel,Oceanodroma monorhis,Remove,
Whimbrel,Numenius phaeopus,,Whimbrel
Wilson's Storm-Petrel,Oceanites oceanicus,Remove,
Black Kite,Milvus migrans,,Black Kite
Little Swift,Apus affinis,,Little Swift
White-browed Bulbul,Pycnonotus luteolus,,White-browed Bulbul
Common Sandpiper,Actitis hypoleucos,,Common Sandpiper
Sanderling,Calidris alba,,Sanderling
Greater Sand-Plover,Charadrius leschenaultii,,Greater Sand-Plover
Kentish Plover,Charadrius alexandrinus,,Kentish Plover
Lesser Sand-Plover,Charadrius mongolus,,Lesser Sand-Plover
Paddyfield Pipit,Anthus rufulus,,Paddyfield Pipit
Western Reef-Heron,Egretta gularis,,Western Reef-Heron
shorebird sp.,Charadriiformes sp.,Remove,
tern sp.,Sterninae sp.,Remove,
Lesser/Greater Sand-Plover,Charadrius mongolus/leschenaultii,Remove,
Black Eagle,Ictinaetus malaiensis,,Black Eagle
Indian Peafowl,Pavo cristatus,,Indian Peafowl
Black-headed Cuckooshrike,Lalage melanoptera,,Black-headed Cuckooshrike
Indian Robin,Copsychus fulicatus,,Indian Robin
Red Spurfowl,Galloperdix spadicea,,Red Spurfowl
House Sparrow,Passer domesticus,,House Sparrow
Yellow-footed Green-Pigeon,Treron phoenicopterus,,Yellow-footed Green-Pigeon
Large/Common Woodshrike,Tephrodornis virgatus/pondicerianus,Remove,
Woolly-necked Stork,Ciconia episcopus,,Woolly-necked Stork
Jerdon's Bushlark,Mirafra affinis,,Jerdon's Bushlark
Tawny-bellied Babbler,Dumetia hyperythra,,Tawny-bellied Babbler
Flame-throated Bulbul,Rubigula gularis,,Flame-throated Bulbul
Little Spiderhunter,Arachnothera longirostra,,Little Spiderhunter
Streaked Weaver,Ploceus manyar,,Streaked Weaver
Chestnut-headed Bee-eater,Merops leschenaulti,,Chestnut-headed Bee-eater
Black-winged Kite,Elanus caeruleus,,Black-winged Kite
woodpecker sp.,Picidae sp.,Remove,
leafbird sp.,Chloropsis sp.,Remove,
Barn Owl,Tyto alba,Remove,
Asian Emerald Dove,Chalcophaps indica,,Asian Emerald Dove
Greater Flameback,Chrysocolaptes guttacristatus,,Greater Flameback
Orange Minivet,Pericrocotus flammeus,,Orange Minivet
Blue-bearded Bee-eater,Nyctyornis athertoni,,Blue-bearded Bee-eater
Coppersmith Barbet,Psilopogon haemacephalus,,Coppersmith Barbet
Cinereous Tit,Parus cinereus,,Cinereous Tit
Gray-breasted Prinia,Prinia hodgsonii,,Grey-breasted Prinia
coucal sp.,Centropus sp.,Remove,
Golden-fronted Leafbird,Chloropsis aurifrons,,Golden-fronted Leafbird
Large Cuckooshrike,Coracina macei,,Large Cuckooshrike
Lesser Coucal,Centropus bengalensis,,Lesser Coucal
Malabar Gray Hornbill,Ocyceros griseus,,Malabar Grey Hornbill
Malabar Parakeet,Psittacula columboides,,Malabar Parakeet
Crimson-backed Sunbird,Leptocoma minima,,Crimson-backed Sunbird
swallow sp.,Hirundinidae sp.,Remove,
shrike sp.,Lanius sp.,Remove,
Cinnamon Bittern,Ixobrychus cinnamomeus,,Cinnamon Bittern
Crested Treeswift,Hemiprocne coronata,,Crested Treeswift
Brahminy Starling,Sturnia pagodarum,,Brahminy Starling
Spotted Owlet,Athene brama,Remove,
Indian Scops-Owl,Otus bakkamoena,Remove,
Gray Junglefowl,Gallus sonneratii,,Grey Junglefowl
Rufous Babbler,Turdoides subrufa,,Rufous Babbler
Southern Hill Myna,Gracula indica,,Southern Hill Myna
Dark-fronted Babbler,Rhopocichla atriceps,,Dark-fronted Babbler
Thick-billed Flowerpecker,Dicaeum agile,,Thick-billed Flowerpecker
White-bellied Treepie,Dendrocitta leucogastra,,White-bellied Treepie
Yellow-browed Bulbul,Iole indica,,Yellow-browed Bulbul
Asian Fairy-bluebird,Irena puella,,Asian Fairy-bluebird
Malabar Trogon,Harpactes fasciatus,,Malabar Trogon
Tickell's Blue Flycatcher,Cyornis tickelliae,,Tickell's Blue Flycatcher
Malabar Whistling-Thrush,Myophonus horsfieldii,,Malabar Whistling-Thrush
Velvet-fronted Nuthatch,Sitta frontalis,,Velvet-fronted Nuthatch
Gray-fronted Green-Pigeon,Treron affinis,,Grey-fronted Green-Pigeon
Heart-spotted Woodpecker,Hemicircus canente,,Heart-spotted Woodpecker
large tern sp.,Hydroprogne/Thalasseus sp.,Remove,
Malabar Barbet,Psilopogon malabaricus,,Malabar Barbet
Dollarbird,Eurystomus orientalis,,Oriental Dollarbird
Gray-headed Bulbul,Brachypodius priocephalus,,Grey-headed Bulbul
Lesser Fish-Eagle,Haliaeetus humilis,,Lesser Fish-Eagle
Wayanad Laughingthrush,Ianthocincla delesserti,,Wayanad Laughingthrush
pigeon/dove sp.,Columbidae sp.,Remove,
Eurasian Hoopoe,Upupa epops,,Eurasian Hoopoe
Brown-cheeked Fulvetta,Alcippe poioicephala,,Brown-cheeked Fulvetta
Bar-winged Flycatcher-shrike,Hemipus picatus,,Bar-winged Flycatcher-shrike
Indian Swiftlet,Aerodramus unicolor,,Indian Swiftlet
Indian Scimitar-Babbler,Pomatorhinus horsfieldii,,Indian Scimitar-Babbler
Indian White-eye,Zosterops palpebrosus,,Indian White-eye
Nilgiri Flowerpecker,Dicaeum concolor,,Nilgiri Flowerpecker
Besra,Accipiter virgatus,,Besra
Gray-headed Canary-Flycatcher,Culicicapa ceylonensis,,Grey-headed Canary-Flycatcher
Puff-throated Babbler,Pellorneum ruficeps,,Puff-throated Babbler
Oriental Honey-buzzard,Pernis ptilorhynchus,,Oriental Honey-buzzard
Oriental Skylark,Alauda gulgula,,Oriental Skylark
whistling-duck sp.,Dendrocygna sp.,Remove,
plover sp.,Charadriidae sp.,Remove,
gull/tern sp.,Laridae sp.,Remove,
Lesser Black-backed Gull,Larus fuscus,,Lesser Black-backed Gull
Changeable Hawk-Eagle,Nisaetus cirrhatus,,Changeable Hawk-Eagle
Blue-faced Malkoha,Phaenicophaeus viridirostris,,Blue-faced Malkoha
Common Woodshrike,Tephrodornis pondicerianus,,Common Woodshrike
Streak-throated Woodpecker,Picus xanthopygaeus,,Streak-throated Woodpecker
Common/Jungle Myna,Acridotheres tristis/fuscus,Remove,
White-browed Fantail,Rhipidura aureola,,White-browed Fantail
Banded Bay Cuckoo,Cacomantis sonneratii,,Banded Bay Cuckoo
Long-tailed Shrike,Lanius schach,,Long-tailed Shrike
Hill Swallow,Hirundo domicola,,Hill Swallow
Crested Goshawk,Accipiter trivirgatus,,Crested Goshawk
Common Greenshank,Tringa nebularia,,Common Greenshank
small bittern sp.,Ixobrychus sp.,Remove,
Black-tailed Godwit,Limosa limosa,,Black-tailed Godwit
bee-eater sp.,Merops sp.,Remove,
Indian Golden Oriole,Oriolus kundoo,,Indian Golden Oriole
Yellow-wattled Lapwing,Vanellus malabaricus,,Yellow-wattled Lapwing
Mottled Wood-Owl,Strix ocellata,Remove,
stork sp.,Ciconiidae sp.,Remove,
Small Minivet,Pericrocotus cinnamomeus,,Small Minivet
Yellow-crowned Woodpecker,Leiopicus mahrattensis,,Yellow-crowned Woodpecker
Timaliidae sp.,Timaliidae sp.,Remove,
Dusky Crag-Martin,Ptyonoprogne concolor,,Dusky Crag-Martin
Black-naped Monarch,Hypothymis azurea,,Black-naped Monarch
White-bellied Woodpecker,Dryocopus javensis,,White-bellied Woodpecker
Brown Fish-Owl,Ketupa zeylonensis,Remove,
Gray Wagtail,Motacilla cinerea,,Grey Wagtail
White-rumped Needletail,Zoonavena sylvatica,,White-rumped Needletail
Indian Yellow Tit,Machlolophus aplonotus,,Indian Yellow Tit
Black-throated Munia,Lonchura kelaarti,,Black-throated Munia
parakeet sp.,Psittaciformes sp. (parakeet sp.),Remove,
Indian Blackbird,Turdus simillimus,,Indian Blackbird
White-bellied Blue Flycatcher,Cyornis pallidipes,,White-bellied Blue Flycatcher
Rosy Starling,Pastor roseus,,Rosy Starling
Accipiter sp.,Accipiter sp.,Remove,
Barn Swallow,Hirundo rustica,,Barn Swallow
Common Ringed Plover,Charadrius hiaticula,,Common Ringed Plover
Ruff,Calidris pugnax,,Ruff
River Tern,Sterna aurantia,,River Tern
minivet sp.,Pericrocotus sp.,Remove,
nuthatch sp.,Sitta sp.,Remove,
Western Yellow Wagtail,Motacilla flava,,Western Yellow Wagtail
Malabar Pied-Hornbill,Anthracoceros coronatus,,Malabar Pied-Hornbill
Great Hornbill,Buceros bicornis,,Great Hornbill
Green/Greenish Warbler,Phylloscopus nitidus/trochiloides,,Green/Greenish Warbler
owl sp.,Strigiformes sp.,Remove,
Square-tailed Bulbul,Hypsipetes ganeesa,,Square-tailed Bulbul
diurnal raptor sp.,Accipitriformes/Falconiformes sp.,Remove,
Black-naped Oriole,Oriolus chinensis,,Black-naped Oriole
Indian Paradise-Flycatcher,Terpsiphone paradisi,,Indian Paradise-Flycatcher
Blyth's Reed Warbler,Acrocephalus dumetorum,,Blyth's Reed Warbler
Eurasian Marsh-Harrier,Circus aeruginosus,,Eurasian Marsh-Harrier
Garganey,Spatula querquedula,,Garganey
Osprey,Pandion haliaetus,,Osprey
Watercock,Gallicrex cinerea,,Watercock
Black-capped Kingfisher,Halcyon pileata,,Black-capped Kingfisher
Greenish Warbler,Phylloscopus trochiloides,Merge,Green/Greenish Warbler
Pin-tailed Snipe,Gallinago stenura,,Pin-tailed Snipe
Brown Shrike,Lanius cristatus,,Brown Shrike
Phylloscopus sp.,Phylloscopus sp.,Remove,
Pacific Golden-Plover,Pluvialis fulva,,Pacific Golden-Plover
Black-headed Gull,Chroicocephalus ridibundus,,Black-headed Gull
gull sp.,Larinae sp.,Remove,
Little/Saunders's Tern,Sternula albifrons/saundersi,Reassign,Little Tern
Common Snipe,Gallinago gallinago,,Common Snipe
Oriental Turtle-Dove,Streptopelia orientalis,,Oriental Turtle-Dove
Green Sandpiper,Tringa ochropus,,Green Sandpiper
Clamorous Reed Warbler,Acrocephalus stentoreus,,Clamorous Reed Warbler
Marsh Sandpiper,Tringa stagnatilis,,Marsh Sandpiper
Yellow-throated Sparrow,Gymnoris xanthocollis,,Yellow-throated Sparrow
Brown-headed Gull,Chroicocephalus brunnicephalus,,Brown-headed Gull
Brown-breasted Flycatcher,Muscicapa muttui,,Brown-breasted Flycatcher
harrier sp.,Circus sp.,Remove,
Chestnut-tailed Starling,Sturnia malabarica,,Chestnut-tailed Starling
Peregrine Falcon,Falco peregrinus,,Peregrine Falcon
Pallid Harrier,Circus macrourus,,Pallid Harrier
Asian Brown Flycatcher,Muscicapa dauurica,,Asian Brown Flycatcher
Blue-capped Rock-Thrush,Monticola cinclorhyncha,,Blue-capped Rock-Thrush
White-rumped Shama,Copsychus malabaricus,,White-rumped Shama
Ashy Drongo,Dicrurus leucophaeus,,Ashy Drongo
Hair-crested Drongo,Dicrurus hottentottus,,Hair-crested Drongo
Rusty-tailed Flycatcher,Ficedula ruficauda,,Rusty-tailed Flycatcher
White-bellied Drongo,Dicrurus caerulescens,,White-bellied Drongo
Fork-tailed/Square-tailed Drongo-Cuckoo,Surniculus dicruroides/lugubris,Reassign,Fork-tailed Drongo-Cuckoo
Verditer Flycatcher,Eumyias thalassinus,,Verditer Flycatcher
lapwing sp.,Vanellus sp.,Remove,
Temminck's Stint,Calidris temminckii,,Temminck's Stint
White Wagtail,Motacilla alba,,White Wagtail
Richard's Pipit,Anthus richardi,,Richard's Pipit
snipe sp.,Gallinago sp.,Remove,
heron sp.,Ardeidae sp.,Remove,
Large-billed Leaf Warbler,Phylloscopus magnirostris,,Large-billed Leaf Warbler
blue flycatcher sp.,Cyornis sp.,Remove,
Gray-bellied Cuckoo,Cacomantis passerinus,,Grey-bellied Cuckoo
Small Pratincole,Glareola lactea,,Small Pratincole
Streak-throated Swallow,Petrochelidon fluvicola,,Streak-throated Swallow
Bar-tailed Godwit,Limosa lapponica,,Bar-tailed Godwit
rail/crake sp.,Rallidae sp. (rail/crake sp.),Remove,
Acrocephalus sp.,Acrocephalus sp.,Remove,
Forest Wagtail,Dendronanthus indicus,,Forest Wagtail
Green Warbler,Phylloscopus nitidus,Merge,Green/Greenish Warbler
Sykes's Short-toed Lark,Calandrella dukhunensis,Merge,Sykes's Short-toed Lark
Alpine Swift,Apus melba,Merge,Alpine Swift
Pallas's Gull,Ichthyaetus ichthyaetus,Merge,Pallas's Gull
Sandwich Tern,Thalasseus sandvicensis,Merge,Sandwich Tern
Black-bellied Plover,Pluvialis squatarola,Merge,Black-bellied Plover
Cuculus sp.,Cuculus sp.,Merge,
Fork-tailed Drongo-Cuckoo,Surniculus dicruroides,Merge,Fork-tailed Drongo-Cuckoo
old world oriole sp.,Oriolus sp.,Merge,
Booted Eagle,Hieraaetus pennatus,Merge,Booted Eagle
Indian Pitta,Pitta brachyura,Merge,Indian Pitta
Ruddy-breasted Crake,Zapornia fusca,Merge,Ruddy-breasted Crake
Malabar Lark,Galerida malabarica,Merge,Malabar Lark
Pied Cuckoo,Clamator jacobinus,Merge,Pied Cuckoo
Eurasian Kestrel,Falco tinnunculus,Merge,Eurasian Kestrel
Thick-billed Warbler,Arundinax aedon,Merge,Thick-billed Warbler
Lesser/Gray-headed Fish-Eagle,Haliaeetus humilis/ichthyaetus,Merge,
Blue-throated Flycatcher,Cyornis rubeculoides,Merge,Blue-throated Flycatcher
Gray-headed Lapwing,Vanellus cinereus,Merge,Grey-headed Lapwing
Gray Francolin,Francolinus pondicerianus,Merge,Grey Francolin
Nilgiri Flycatcher,Eumyias albicaudatus,Merge,Nilgiri Flycatcher
Speckled Piculet,Picumnus innominatus,Merge,Speckled Piculet
asian barbet sp.,Megalaimidae sp.,Merge,
Wire-tailed Swallow,Hirundo smithii,Merge,Wire-tailed Swallow
Great Cormorant,Phalacrocorax carbo,Merge,Great Cormorant
Lonchura sp.,Lonchura sp.,Merge,
Caspian Tern,Hydroprogne caspia,Merge,Caspian Tern
White-bellied Sea-Eagle,Haliaeetus leucogaster,Merge,White-bellied Sea-Eagle
Psilopogon sp.,Psilopogon sp.,Merge,
Jungle Bush-Quail,Perdicula asiatica,Merge,Jungle Bush-Quail
green-pigeon sp.,Treron sp.,Merge,
Laughing Dove,Streptopelia senegalensis,Merge,Laughing Dove
Bay-backed Shrike,Lanius vittatus,Merge,Bay-backed Shrike
Jungle Prinia,Prinia sylvatica,Merge,Jungle Prinia
White-eyed Buzzard,Butastur teesa,Merge,White-eyed Buzzard
swamphen sp.,Porphyrio sp. (swamphen sp.),Merge,
pipit sp.,Anthus sp.,Merge,
Malabar/Coppersmith Barbet,Psilopogon malabaricus/haemacephalus,Merge,
lark sp.,Alaudidae sp.,Merge,
Orange-breasted Green-Pigeon,Treron bicinctus,Merge,Orange-breasted Green-Pigeon
thrush sp.,Turdidae sp.,Merge,
Tringa sp.,Tringa sp.,Merge,
wagtail sp.,Motacilla sp.,Merge,
Indian Nuthatch,Sitta castanea,Merge,Indian Nuthatch
Eurasian Curlew,Numenius arquata,Merge,Eurasian Curlew
Indian Silverbill,Euodice malabarica,Merge,Indian Silverbill
Rufous-bellied Eagle,Lophotriorchis kienerii,Merge,Rufous-bellied Eagle
Sri Lanka Frogmouth,Batrachostomus moniliger,Merge,
falcon sp.,Falco sp.,Merge,
Streptopelia sp.,Streptopelia sp.,Merge,
Brown-headed Barbet,Psilopogon zeylanicus,Merge,Brown-headed Barbet
Brown Wood-Owl,Strix leptogrammica,Merge,
kingfisher sp.,Alcedinidae sp.,Merge,
Barred Buttonquail,Turnix suscitator,Merge,Barred Buttonquail
Ashy-crowned Sparrow-Lark,Eremopterix griseus,Merge,Ashy-crowned Sparrow-Lark
Rain Quail,Coturnix coromandelica,Merge,Rain Quail
Ruddy Turnstone,Arenaria interpres,Merge,Ruddy Turnstone
teal sp.,Anatidae sp. (teal sp.),Merge,
ibis sp.,Threskiornithidae sp. (ibis sp.),Merge,
Red-headed Vulture,Sarcogyps calvus,Merge,Red-headed Vulture
White-rumped Vulture,Gyps bengalensis,Merge,White-rumped Vulture
Ploceus sp.,Ploceus sp.,Merge,
Parid sp.,Paridae sp.,Merge,
Terek Sandpiper,Xenus cinereus,Merge,Terek Sandpiper
Golden-headed Cisticola,Cisticola exilis,Merge,Golden-headed Cisticola
old world quail sp.,Synoicus/Coturnix sp.,Merge,
spiderhunter sp.,Arachnothera sp.,Merge,Little Spiderhunter
Dicaeum sp.,Dicaeum sp.,Merge,
nightjar sp.,Caprimulgidae sp.,Merge,
Brachypodius/Rubigula/Pycnonotus sp.,Brachypodius/Rubigula/Pycnonotus sp.,Merge,
Nilgiri Wood-Pigeon,Columba elphinstonii,Merge,Nilgiri Wood-Pigeon
Bonelli's Eagle,Aquila fasciata,Merge,Bonelli's Eagle
Blyth's Swift,Apus leuconyx,Merge,Blyth's Swift
Indian Blue Robin,Larvivora brunnea,Merge,Indian Blue Robin
Siberian Stonechat,Saxicola maurus,Merge,Siberian Stonechat
Northern Pintail,Anas acuta,Merge,Northern Pintail
Montagu's Harrier,Circus pygargus,Merge,Montagu's Harrier
Eurasian Spoonbill,Platalea leucorodia,Merge,Eurasian Spoonbill
Green-winged Teal,Anas crecca,Merge,Green-winged Teal
Iduna sp.,Iduna sp.,Merge,
Northern Shoveler,Spatula clypeata,Merge,Northern Shoveler
small plover sp.,Charadrius sp.,Merge,
golden-plover sp.,Pluvialis apricaria/dominica/fulva,Merge,
Black Baza,Aviceda leuphotes,Merge,Black Baza
Savanna Nightjar,Caprimulgus affinis,Merge,
Paddyfield Warbler,Acrocephalus agricola,Merge,Paddyfield Warbler
Aquila sp.,Aquila sp.,Merge,
Red-vented/Red-whiskered Bulbul,Pycnonotus cafer/jocosus,Merge,
Great Eared-Nightjar,Lyncornis macrotis,Merge,
Short-toed Snake-Eagle,Circaetus gallicus,Merge,Short-toed Snake-Eagle
Eurasian Oystercatcher,Haematopus ostralegus,Merge,Eurasian Oystercatcher
Larus sp.,Larus sp.,Merge,
Common Tern,Sterna hirundo,Merge,Common Tern
Nilgiri Laughingthrush,Montecincla cachinnans,Merge,Nilgiri Laughingthrush
Tickell's Leaf Warbler,Phylloscopus affinis,Merge,Tickell's Leaf Warbler
Common Flameback,Dinopium javanense,Merge,Common Flameback
Black Stork,Ciconia nigra,Merge,Black Stork
Booted Warbler,Iduna caligata,Merge,Booted/Sykes's Warbler
Common Rosefinch,Carpodacus erythrinus,,Common Rosefinch
Slaty-breasted Rail,Lewinia striata,,Slaty-breasted Rail
Booted/Sykes's Warbler,Iduna caligata/rama,,Booted/Sykes's Warbler
Blue-eared Kingfisher,Alcedo meninting,Merge,Blue-eared Kingfisher
Spot-bellied Eagle-Owl,Bubo nipalensis,Merge,
Little Tern,Sternula albifrons,Merge,Little Tern
Western Crowned Warbler,Phylloscopus occipitalis,Merge,Western Crowned Warbler
duck sp.,Anatinae sp.,Merge,
hawk sp.,Accipitridae sp. (hawk sp.),Merge,
Greater Flamingo,Phoenicopterus roseus,Merge,Greater Flamingo
Sykes's Warbler,Iduna rama,Merge,Booted/Sykes's Warbler
Ciconia sp.,Ciconia sp.,,
Turdoides sp.,Turdoides sp.,,
Apus sp.,Apus sp.,,
Jerdon's Nightjar,Caprimulgus atripennis,,
Steppe Eagle,Aquila nipalensis,,Steppe Eagle
Common Buzzard,Buteo buteo,,Common Buzzard
moorhen/coot/gallinule sp.,Gallinula/Fulica/Porphyrio sp.,,
bird sp.,Aves sp.,Remove,
buttonquail sp.,Turnix sp.,,
Muscicapa sp.,Muscicapa sp.,,
Lesser/Eurasian Kestrel,Falco naumanni/tinnunculus,,
Indian Thick-knee,Burhinus indicus,,Indian Thick-knee
